1 Chronicles 16,1
1 Corinthians 1,8
1 Corinthians 11,4
1 Corinthians 12,1
1 Corinthians 13,2
1 Corinthians 14,5
1 Corinthians 15,1
1 Corinthians 16,2
1 Corinthians 2,1
1 Corinthians 3,2
1 Corinthians 4,1
1 Corinthians 6,3
1 Corinthians 9,2
1 John 1,4
1 John 2,1
1 John 3,3
1 John 4,5
1 Kings 12,1
1 Kings 18,1
1 Kings 19,4
1 Peter 1,4
1 Peter 2,7
1 Peter 3,3
1 Peter 5,5
1 Samuel 10,1
1 Samuel 13,1
1 Samuel 14,2
1 Samuel 16,1
1 Samuel 17,3
1 Samuel 8,2
1 Thessalonians 1,1
1 Thessalonians 2,2
1 Thessalonians 4,2
1 Thessalonians 5,6
1 Timothy 1,4
1 Timothy 2,5
1 Timothy 3,3
1 Timothy 4,6
1 Timothy 5,1
1 Timothy 6,2
2 Chronicles 16,2
2 Chronicles 20,2
2 Chronicles 7,1
2 Corinthians 1,2
2 Corinthians 10,2
2 Corinthians 11,1
2 Corinthians 12,2
2 Corinthians 13,1
2 Corinthians 2,1
2 Corinthians 5,3
2 Corinthians 9,6
2 Kings 2,1
2 Kings 3,1
2 Kings 6,1
2 Peter 1,1
2 Peter 3,1
2 Samuel 10,1
2 Samuel 12,3
2 Samuel 23,1
2 Samuel 7,3
2 Thessalonians 1,1
2 Thessalonians 2,1
2 Thessalonians 3,2
2 Timothy 1,6
2 Timothy 2,5
2 Timothy 3,3
2 Timothy 4,2
Acts 1,1
Acts 13,2
Acts 16,4
Acts 18,1
Acts 2,7
Acts 21,2
Acts 23,2
Acts 24,2
Acts 25,1
Acts 26,1
Acts 3,4
Acts 4,4
Acts 5,1
Acts 6,1
Acts 8,1
Acts 9,5
Amos 1,1
Colossians 1,9
Colossians 2,2
Colossians 3,6
Colossians 4,1
Daniel 1,2
Daniel 3,1
Daniel 4,1
Deuteronomy 10,1
Deuteronomy 24,1
Deuteronomy 28,2
Deuteronomy 31,1
Deuteronomy 5,1
Ecclesiastes 4,1
Ecclesiastes 6,1
Ephesians 1,6
Ephesians 2,7
Ephesians 3,4
Ephesians 4,13
Ephesians 5,9
Ephesians 6,10
Esther 2,1
Exodus 1,2
Exodus 10,2
Exodus 12,1
Exodus 13,1
Exodus 17,2
Exodus 18,1
Exodus 19,1
Exodus 2,2
Exodus 20,14
Exodus 23,1
Exodus 25,1
Exodus 3,2
Exodus 32,1
Ezekiel 10,1
Ezekiel 33,2
Ezekiel 37,2
Ezra 1,3
Galatians 3,5
Galatians 4,9
Galatians 5,8
Galatians 6,2
Genesis 1,6
Genesis 11,1
Genesis 18,1
Genesis 19,1
Genesis 22,4
Genesis 25,1
Genesis 26,1
Genesis 28,2
Genesis 3,2
Genesis 32,1
Genesis 37,2
Genesis 38,1
Genesis 39,2
Genesis 41,2
Genesis 5,1
Genesis 6,1
Genesis 7,1
Genesis 8,1
Genesis 9,1
Habakkuk 1,1
Haggai 2,1
Hebrews 1,2
Hebrews 10,2
Hebrews 11,10
Hebrews 12,3
Hebrews 13,5
Hebrews 2,2
Hebrews 3,2
Hebrews 4,2
Hebrews 5,1
Hebrews 6,1
Hebrews 9,1
Hosea 4,1
Isaiah 1,1
Isaiah 11,2
Isaiah 2,2
Isaiah 30,1
Isaiah 35,1
Isaiah 38,1
Isaiah 40,1
Isaiah 43,6
Isaiah 45,1
Isaiah 46,1
Isaiah 5,1
Isaiah 53,4
Isaiah 54,1
Isaiah 55,2
Isaiah 58,1
Isaiah 6,2
Isaiah 60,1
Isaiah 61,1
Isaiah 62,1
Isaiah 7,4
Isaiah 9,12
James 1,11
James 2,1
James 3,2
James 4,4
James 5,1
Jeremiah 1,1
Jeremiah 10,1
Jeremiah 18,2
Jeremiah 2,1
Jeremiah 22,1
Jeremiah 23,1
Jeremiah 29,1
Jeremiah 31,5
Jeremiah 32,1
Jeremiah 33,1
Jeremiah 8,1
Job 1,2
Job 34,1
Job 35,1
Job 36,1
Job 37,1
Job 38,1
Joel 1,1
Joel 2,4
Joel 3,1
John 1,22
John 10,3
John 11,3
John 12,4
John 13,2
John 14,8
John 15,2
John 17,3
John 2,5
John 20,2
John 3,14
John 4,9
John 5,1
John 6,3
John 8,5
Jonah 1,1
Jonah 2,1
Jonah 3,1
Joshua 1,1
Joshua 24,3
Joshua 3,1
Joshua 4,3
Joshua 6,3
Judges 1,3
Judges 15,1
Judges 18,1
Judges 3,1
Judges 4,1
Judges 5,1
Judges 6,2
Lamentations 3,1
Leviticus 10,1
Leviticus 19,1
Leviticus 23,1
Leviticus 6,1
Luke 1,20
Luke 10,2
Luke 11,4
Luke 12,1
Luke 13,1
Luke 14,3
Luke 15,3
Luke 16,1
Luke 17,5
Luke 19,4
Luke 2,42
Luke 20,3
Luke 21,4
Luke 22,6
Luke 23,3
Luke 24,2
Luke 3,3
Luke 4,5
Luke 5,1
Luke 7,1
Luke 9,1
Malachi 2,1
Malachi 3,2
Malachi 4,1
Mark 1,2
Mark 10,3
Mark 11,3
Mark 12,2
Mark 14,4
Mark 16,2
Mark 2,4
Mark 3,3
Mark 4,4
Mark 5,3
Mark 6,3
Mark 7,3
Mark 8,3
Mark 9,4
Matthew 1,24
Matthew 10,1
Matthew 11,5
Matthew 12,6
Matthew 14,1
Matthew 15,2
Matthew 16,3
Matthew 17,1
Matthew 18,4
Matthew 19,1
Matthew 2,23
Matthew 20,1
Matthew 22,4
Matthew 23,1
Matthew 24,5
Matthew 25,6
Matthew 26,3
Matthew 27,1
Matthew 28,3
Matthew 3,4
Matthew 4,2
Matthew 5,3
Matthew 6,3
Matthew 7,10
Matthew 8,6
Matthew 9,5
Micah 5,2
Micah 6,1
Nahum 1,1
Nehemiah 1,2
Nehemiah 2,2
Numbers 13,2
Numbers 6,1
Philemon 1,3
Philippians 1,4
Philippians 2,9
Philippians 3,26
Philippians 4,14
Proverbs 12,1
Proverbs 14,2
Proverbs 18,1
Proverbs 23,1
Proverbs 24,3
Proverbs 28,1
Proverbs 3,1
Proverbs 31,1
Proverbs 4,1
Proverbs 7,1
Psalms 1,2
Psalms 100,2
Psalms 102,1
Psalms 103,2
Psalms 105,1
Psalms 107,1
Psalms 11,1
Psalms 115,2
Psalms 116,5
Psalms 118,2
Psalms 119,2
Psalms 121,1
Psalms 126,3
Psalms 131,1
Psalms 136,1
Psalms 138,2
Psalms 142,1
Psalms 143,1
Psalms 15,1
Psalms 16,1
Psalms 23,1
Psalms 27,2
Psalms 33,1
Psalms 34,2
Psalms 37,2
Psalms 38,1
Psalms 40,1
Psalms 46,2
Psalms 51,1
Psalms 61,1
Psalms 62,1
Psalms 63,1
Psalms 72,2
Psalms 73,1
Psalms 85,1
Psalms 90,1
Psalms 91,2
Psalms 92,1
Revelation 1,2
Revelation 12,3
Revelation 16,1
Revelation 17,2
Revelation 19,1
Revelation 2,6
Revelation 20,1
Revelation 21,2
Revelation 22,1
Revelation 3,7
Revelation 4,1
Revelation 6,5
Revelation 7,2
Revelation 8,5
Romans 1,4
Romans 10,4
Romans 12,6
Romans 13,3
Romans 14,2
Romans 15,1
Romans 2,1
Romans 3,3
Romans 4,1
Romans 5,3
Romans 6,1
Romans 7,1
Romans 8,4
Song of Songs,2
Titus 2,4
Titus 3,2
Zechariah 4,1
Zephaniah 1,1
Zephaniah 2,1
Zephaniah 3,1
