1 Chronicles,1
1 Corinthians,32
1 John,13
1 Kings,6
1 Peter,19
1 Samuel,10
1 Thessalonians,11
1 Timothy,21
2 Chronicles,5
2 Corinthians,18
2 Kings,3
2 Peter,2
2 Samuel,8
2 Thessalonians,4
2 Timothy,16
Acts,39
Amos,1
Colossians,18
Daniel,4
Deuteronomy,6
Ecclesiastes,2
Ephesians,49
Esther,1
Exodus,31
Ezekiel,5
Ezra,3
Galatians,24
Genesis,32
Habakkuk,1
Haggai,1
Hebrews,31
Hosea,1
Isaiah,47
James,19
Jeremiah,16
Job,7
Joel,6
John,86
Jonah,3
Joshua,11
Judges,10
Lamentations,1
Leviticus,4
Luke,115
Malachi,4
Mark,43
Matthew,128
Micah,3
Nahum,1
Nehemiah,4
Numbers,3
Philemon,3
Philippians,53
Proverbs,13
Psalms,57
Revelation,39
Romans,34
Song of Songs,2
Titus,6
Zechariah,1
Zephaniah,3
