id	book	chapter	denomination	anger	disgust	fear	joy	sadness	openness	conscientiousness	extraversion	agreeableness	emotional_range
1	Exodus	20	Baptist	0.453584	0.157483	0.142535	0.513913	0.27393	0.838413	0.636881	0.189218	0.642971	0.791806	946
2	1 Samuel	8	Baptist	0.167227	0.139677	0.15793	0.523415	0.530949	0.738399	0.746777	0.257538	0.921106	0.756458	1030
3	Hebrews	1	Baptist	0.149903	0.150733	0.127366	0.540176	0.539862	0.849558	0.897484	0.145555	0.810037	0.732506	2939
4	Esther	2	Baptist	0.145875	0.145621	0.148661	0.56338	0.514516	0.798308	0.334994	0.570992	0.861672	0.658471	1016
5	1 Peter	5	Foursquare	0.124566	0.158198	0.129984	0.55705	0.517608	0.814585	0.972122	0.557124	0.9503	0.837441	2578
6	Judges	18	Baptist	0.160132	0.117919	0.15021	0.51717	0.271755	0.847828	0.520026	0.198503	0.727147	0.77098	1138
7	Genesis	9	Baptist	0.156709	0.132963	0.17448	0.513258	0.280438	0.790877	0.364972	0.124599	0.686862	0.721324	1148
8	2 Timothy	2	Baptist	0.159005	0.133412	0.13085	0.221771	0.279005	0.69707	0.931234	0.672565	0.983411	0.77851	828
9	1 Corinthians	11	Wesleyan	0.144261	0.142643	0.118584	0.57038	0.574004	0.782205	0.901272	0.141452	0.651127	0.81539	2873
10	Luke	20	Anglican	0.167949	0.179663	0.144039	0.459652	0.535674	0.966752	0.495655	0.351967	0.366523	0.666091	1582
11	2 Corinthians	1	Independent/Bible	0.156395	0.12169	0.504932	0.485493	0.621296	0.837553	0.556451	0.191516	0.771127	0.420091	2639
12	2 Timothy	2	Assembly Of God	0.194986	0.537693	0.540957	0.558145	0.515228	0.906893	0.214483	0.169784	0.653235	0.609645	2447
13	Isaiah	54	Baptist	0.15567	0.196548	0.12293	0.554993	0.566082	0.903925	0.986013	0.522989	0.616203	0.854711	2144
14	Ephesians	1	Baptist	0.178433	0.159231	0.108936	0.508723	0.572023	0.839866	0.9569	0.227191	0.856383	0.771021	3012
15	2 Timothy	2	Baptist	0.159148	0.491465	0.456586	0.447375	0.576235	0.842947	0.967321	0.323775	0.865526	0.831828	2963
16	2 Corinthians	10	Brethren	0.165025	0.559207	0.138357	0.146314	0.539154	0.865976	0.257918	0.182271	0.426917	0.567765	2736
17	Luke	20	Baptist	0.137407	0.149093	0.114843	0.540566	0.55852	0.894536	0.682694	0.154576	0.622192	0.53052	1666
18	Luke	19	Baptist	0.113734	0.469588	0.13428	0.536329	0.556296	0.759532	0.443345	0.329207	0.886835	0.631241	1649
19	Genesis	18	Lutheran	0.152318	0.152956	0.15755	0.494046	0.521302	0.693424	0.944442	0.284976	0.960758	0.772474	2210
20	Isaiah	38	Evangelical/Non-Denominational	0.114632	0.103028	0.101671	0.611446	0.214959	0.768343	0.939036	0.306353	0.980608	0.725673	2861
21	Acts	9	Baptist	0.510299	0.123329	0.624919	0.535913	0.549503	0.628387	0.490945	0.04252	0.773407	0.750524	329
22	1 Thessalonians	5	Evangelical/Non-Denominational	0.135584	0.115657	0.603518	0.534575	0.508158	0.850364	0.927007	0.070977	0.733089	0.64976	1646
23	1 Timothy	2	Christian/Church Of Christ	0.182657	0.480635	0.12097	0.128745	0.577749	0.768971	0.600393	0.32666	0.72023	0.698092	2710
24	Proverbs	14	Vineyard	0.224808	0.253374	0.091899	0.110651	0.531885	0.974904	0.772036	0.569184	0.284418	0.772085	2676
25	Matthew	25	Baptist	0.165799	0.148624	0.1556	0.457228	0.551022	0.812694	0.896039	0.197114	0.72115	0.737761	2068
26	2 Timothy	3	Christian/Church Of Christ	0.572071	0.129442	0.105692	0.520907	0.226385	0.869907	0.747113	0.211362	0.558557	0.735685	2246
27	Numbers	13	Assembly Of God	0.140975	0.152328	0.161148	0.551811	0.559096	0.80926	0.639782	0.150843	0.331648	0.6202	2191
28	Judges	5	Baptist	0.011353	0.003236	0.001681	0.942377	0.011329	0.962355	0.298192	0.530371	0.215519	0.483918	218
29	Jeremiah	22	Baptist	0.239346	0.111536	0.141016	0.167806	0.52898	0.949334	0.4902	0.057921	0.264786	0.40929	202
30	Judges	4	Baptist	0.163857	0.125181	0.636811	0.475186	0.22759	0.811921	0.743419	0.25124	0.664057	0.620505	1663
31	Colossians	1	Christian/Church Of Christ	0.121941	0.172256	0.093208	0.533203	0.484725	0.892205	0.566361	0.158012	0.631852	0.666613	1750
32	Matthew	5	Christian/Church Of Christ	0.130502	0.142338	0.623194	0.150407	0.550209	0.887532	0.498	0.065074	0.443885	0.521842	2004
33	1 John	3	Lutheran	0.111254	0.173107	0.124732	0.564939	0.535632	0.585771	0.847781	0.302111	0.948275	0.456769	1845
34	Psalms	46	Presbyterian/Reformed	0.476422	0.198864	0.157333	0.098844	0.560648	0.927658	0.954581	0.053438	0.513112	0.818443	940
35	Ezekiel	33	Presbyterian/Reformed	0.476422	0.198864	0.157333	0.098844	0.560648	0.927658	0.954581	0.053438	0.513112	0.818443	940
36	Genesis	25	United Methodist	0.139018	0.192683	0.132643	0.503087	0.513669	0.973741	0.609951	0.113654	0.655091	0.587028	1386
37	Matthew	7	Baptist	0.491067	0.139777	0.152134	0.182913	0.50015	0.795583	0.630567	0.130492	0.88771	0.700902	2541
38	Revelation	2	Baptist	0.15976	0.112766	0.150006	0.545267	0.505204	0.907274	0.616515	0.285769	0.472295	0.78063	2624
39	Proverbs	24	Independent/Bible	0.188562	0.12091	0.150512	0.533776	0.562213	0.90728	0.567692	0.246099	0.319479	0.638637	1127
